RNA ng/ul	Library ng/ul	Gene mapped reads	CPM > 2	Median cor
25.2	40.8	72393382	13444	0.879240186470501
57.4	33.6	68696475	13216	0.867553148618444
33.6	31.4	93960432	13323	0.886978275199754
62.2	28.2	98173461	13198	0.869539264976071
65.8	35.6	69196194	13210	0.880156839755709
43.8	23.6	48322664	13136	0.869156709800198
13.8	30	8295783	12827	0.814099075387482
40.7999999999999	18.1	40036135	12957	0.835157581363881
11.6	45	9565677	12014	0.78553528472476
41	20.6	74882914	13513	0.878516468748377
36.6	11.1	64975951	13078	0.869930353528762
27.2	34	51605729	12896	0.846696764480164
40.4	16.7	50079831	13188	0.867206586637531
45.6	11.3	45489084	13198	0.87193093320379
36.6	18.3	34595008	13013	0.859172369904557
44.6	15.9	67865723	13035	0.857533861044396
12.9	14.7	23347630	12640	0.790385766089383
25.2	18.1	109532057	13117	0.876296298418949
39	13	70296327	13236	0.879677945419394
8.18	17.2	24581247	12709	0.829467081268017
45.8	9.94	86334718	13263	0.862115365927407
29	7.28	92483744	13090	0.861370595580905
38	7.18	83180539	13045	0.862724000710758
11.3	7.54	29015453	13951	0.77372208493737
40.6	9.26	78131066	13098	0.854888018330293
36.6	8.02	68747415	13148	0.863809712128667
16.3	9.2	9759160	10453	0.696190285605598
33.6	7.1	20754253	12438	0.834459701420268
10.3	7.32	79537344	12958	0.858872194063562
19.2	7.06	27873865	13458	0.81488244678726
16.7	5.1	15607209	11344	0.770288770447826
43.4	7.56	106220944	13089	0.867278204082271
43	5.52	49876239	12690	0.852034096002599
29	6.16	82245594	12876	0.855616833956972
40.7999999999999	2.6	26548223	11521	0.763696291624189
47.8	6.78	68435543	12924	0.859727858482859
45.2	4.36	60180056	12739	0.84886653367591
59.2	7.92	53477652	12706	0.844671053484533
16.7	5.74	65893724	13101	0.863115637388878
39	5.82	63602250	13448	0.830348308425674
45.8	3.68	97576680	12594	0.835689887554842
43	5	94638980	12828	0.850077887823539
45.6	3.86	98860370	12606	0.846872810462609
29.6	4.56	32820351	12127	0.801858058334678
18.8999999999999	3.7	29947567	9241	0.621918241325045
41.4	3.62	41240432	12351	0.807632253874735
12.2	4.78	34809637	12400	0.833427782525202
37.7999999999999	4.8	36375568	15369	0.619653672127686
61.2	4.32	46171480	12721	0.825167518764683
42.8	4.32	77131369	12595	0.811150696169059
52.4	2.38	43067479	12001	0.814675750453067
45.6	3.56	81997880	12209	0.819702028978334
28.6	3.26	60107873	12155	0.83055413145499
43.2	3.24	51323786	12365	0.819985843184868
36.2	4.78	80996591	14143	0.770285567795418
12.6	3.54	43325468	11448	0.789673903409505
26.4	2.42	82467502	11991	0.80080497321296
9.74	3.54	17125876	8176	0.619293337245451
4.59999999999999	4.24	46142931	11599	0.764927332885361
10.8	3.64	35392294	10980	0.75810750524131
32.2	2.5	42939481	11770	0.765625955842093
40.6	2.34	29375448	10708	0.767946949810352
23.6	2.68	68908361	10986	0.761005867437247
40.4	3.18	98830198	12283	0.834888322300968
33.6	3.34	111860977	12488	0.826087962264727
16.6	2.72	39994311	10239	0.697869031373315
69.5999999999999	2.94	71332583	12068	0.825072488856887
28.8	5.58	73876298	12846	0.854445026678796
37.4	2.94	12413196	6986	0.546470604321226
36.4	2.04	82252813	11940	0.798599004176845
11.8	1.6	3812673	7492	0.605948723557878
28.8	5.58	99872558	12791	0.854524661637632
47.8	6.78	106451914	12911	0.858603049181036
41.2	2.12	88608566	12547	0.833307457901001
35.8	1.75	42631520	11210	0.793245962060976
15.7	1.21	27564983	10369	0.756690975503631
15.7	0.85	10221505	8385	0.692589039455719
48	1.35	10522922	10347	0.582441907685022
48	1.51	13130260	10461	0.600510345998316
50.6	2.14	71021764	12567	0.829530305432912
45.7	1.46	61784093	11650	0.811330503165737
36.6	1.38	8530430	8711	0.721571545352516
18.5	2.08	36389262	11263	0.70520686762899
38.8	1.52	45644779	11905	0.722265005509095
43	5.52	67392520	12620	0.850933345693181
42.2	1.56	26935051	11138	0.774328638584416
42.2	0.916	23570162	9948	0.748291490739479
23.8	1.44	9735393	6990	0.615626447131231
23.8	1.13	5630445	5387	0.534229465047283
50	1.68	77777940	11694	0.815966095741339
57.8	2.12	53580791	11700	0.800747308334574
39	5.82	73720477	13354	0.830045761669547
48	2.18	41741322	14682	0.75226715808564
14.7	0.642	1572938	4523	0.509161797716624
14.7	1.3	4985531	6914	0.583187637459131
39.2	1.33	48636719	12343	0.81101487313567
15	1.31	6792649	5639	0.533378279659889
15	1.13	5842379	4921	0.50198503846602
44	1.85	89005156	12469	0.833427782525202
41.6	1.41	12394653	8714	0.695626709253202
41.6	0.966	9089863	8001	0.667370717165758
